business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
Zeitgeist	199 VALENCIA St	San Francisco	CA	94110			+14155436891	68799_20170719	2017-07-19	80.0	Routine - Unscheduled	68799_20170719_103142	Unclean nonfood contact surfaces	Low Risk
Bon Appetit @ USF-Market Cafe	2130 FULTON St	San Francisco	CA	94117	37.775117	-122.452065		2907_20180103	2017-01-03		Complaint			
ROYAL GROUND COFFEE	5301 GEARY Blvd	San Francisco	CA	94121	37.780394	-122.47641		1204_20171222	2017-12-22		New Construction			
Elephant Sushi 3	705 Geary St	San Francisco	CA	94109				77761_20171025	2017-10-25	85.0	Routine - Unscheduled	77761_20171025_103133	Foods not protected from contamination	Moderate Risk
Lil'Darlings	312 Columbus Ave	San Francisco	CA	94133	37.798065	-122.406855		63248_20160520	2017-05-20	100.0	Routine - Unscheduled			
Diane Feinstein Elementary School	2550 25th Ave	San Francisco	CA	94116	37.739643	-122.481876		65893_20180321	2017-03-21	100.0	Routine - Unscheduled			
Vanda Siam Restaurant	668 Sacramento St	San Francisco	CA	94111	37.79373	-122.403974		68826_20160204	2017-02-04		Reinspection/Followup	68826_20160204_103157	Food safety certificate or food handler card not available	Low Risk
RINCONSITO SALVADORENO	3829 MISSION St	San Francisco	CA	94110	37.73571	-122.424528		384_20170501	2017-05-01	76.0	Routine - Unscheduled	384_20170501_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
Cones N Cakes Mocha Chaca	4482 Mission St	San Francisco	CA	94112			+14155651598	78452_20171114	2017-11-14	78.0	Routine - Unscheduled	78452_20171114_103105	Improper cooling methods	High Risk
MANIVANH THAI RESTAURANT	2732 24th St	San Francisco	CA	94110	37.752968	-122.407062		2418_20150420	2017-04-20	82.0	Routine - Unscheduled	2418_20150420_103145	Improper storage of equipment utensils or linens	Low Risk
R & G Executive Lounge, Inc	631 Kearny St	San Francisco	CA	94108	37.794154	-122.404765		3016_20180103	2017-01-03		Reinspection/Followup			
